"","cvegeo","admin1","admin2","inegi_cpv_pob1","todos","homicidios","robos","todos_r","homicidios_r","robos_r"
"1","01001","Aguascalientes","Aguascalientes",797010,2770.97,19,32.304,347.670669125858,2.38390986311339,4.05314864305341
"2","01002","Aguascalientes","Asientos",45492,269,5,14,591.312758287171,10.9909434625868,30.7746416952431
"3","01003","Aguascalientes","Calvillo",54136,364,0,27,672.380670902911,0,49.874390424117
"4","01004","Aguascalientes","Cosío",15042,126,0,9,837.654567211807,0,59.8324690865576
"5","01005","Aguascalientes","Jesús María",99590,1507,7,60,1513.20413696154,7.02881815443318,60.2470127522844
"6","01006","Aguascalientes","Pabellón de Arteaga",41862,532,1,18,1270.84229133821,2.38880129950791,42.9984233911423
"7","01007","Aguascalientes","Rincón de Romos",49156,620,2,15,1261.29058507608,4.06867930669705,30.5150948002278
"8","01008","Aguascalientes","San José de Gracia",8443,79,0,2,935.686367404951,0,23.6882624659481
"9","01009","Aguascalientes","Tepezalá",19668,142,0,4,721.98495017287,0,20.3376042302217
"10","01010","Aguascalientes","El Llano",18828,176,1,5,934.777990227321,5.31123858083705,26.5561929041853
"11","01011","Aguascalientes","San Francisco de los Romo",35769,544,4,21,1520.87002711845,11.1828678464592,58.7100561939109
"12","02001","Baja California","Ensenada",466814,3929.155,48,1.362,841.696050246994,10.2824679636858,0.291765028469583
"13","02002","Baja California","Mexicali",936826,3192.333,150,367.574,340.76050408507,16.0115112091253,39.2361014745534
"14","02003","Baja California","Tecate",101079,4223,34,456,4177.92024060388,33.6370561639905,451.132282669991
"15","02004","Baja California","Tijuana",1559683,4183.068,492,7.838,268.19988420724,31.5448716181429,0.502538015737813
"16","02005","Baja California","Playas de Rosarito",90668,3031,50,490,3342.96554462434,55.1462478492963,540.433228923104
"17","03001","Baja California Sur","Comondú",70816,1452,2,70,2050.38409399006,2.82422051513782,98.8477180298238
"18","03002","Baja California Sur","Mulegé",59114,1334,9,30,2256.65662956322,15.2248198396319,50.7493994654397
"19","03003","Baja California Sur","La Paz",251871,3447.705,22,898,1368.83761925748,8.73463002886398,356.531716632721
"20","03008","Baja California Sur","Los Cabos",238487,4157.107,20,379,1743.11681559163,8.38620134430808,158.918515474638
"21","03009","Baja California Sur","Loreto",16738,383,1,14,2288.20647628152,5.97442944198829,83.6420121878361
"22","04001","Campeche","Calkiní",52890,40,1,0,75.6286632633768,1.89071658158442,0
"23","04002","Campeche","Campeche",259005,574,11,18,221.617343294531,4.24702225825756,6.94967278623965
"24","04003","Campeche","Carmen",221094,758,25,36,342.840601735009,11.3074077089383,16.2826671008711
"25","04004","Campeche","Champotón",83021,99,6,1,119.246937521832,7.22708712253526,1.20451452042254
"26","04005","Campeche","Hecelchakán",28306,27,1,0,95.3861372147248,3.53281989684166,0
"27","04006","Campeche","Hopelchén",37777,29,0,0,76.7662863647193,0,0
"28","04007","Campeche","Palizada",8352,11,0,1,131.704980842912,0,11.9731800766284
"29","04008","Campeche","Tenabo",9736,36,1,0,369.761709120789,10.2711585866886,0
"30","04009","Campeche","Escárcega",54184,88,10,4,162.40956739997,18.4556326590876,7.38225306363502
"31","04010","Campeche","Calakmul",26882,30,2,0,111.598839372071,7.4399226248047,0
"32","04011","Campeche","Candelaria",41194,86,10,5,208.768267223382,24.2753799096956,12.1376899548478
"33","05001","Coahuila de Zaragoza","Abasolo",1070,2,2,0,186.915887850467,186.915887850467,0
"34","05002","Coahuila de Zaragoza","Acuña",136755,3882,13,88,2838.65306570144,9.50605096705788,64.3486527000841
"35","05003","Coahuila de Zaragoza","Allende",22675,440,8,6,1940.46306504961,35.2811466372657,26.4608599779493
"36","05004","Coahuila de Zaragoza","Arteaga",22544,450,7,17,1996.09652235628,31.0503903477644,75.4080908445706
"37","05005","Coahuila de Zaragoza","Candela",1808,2,0,0,110.619469026549,0,0
"38","05006","Coahuila de Zaragoza","Castaños",25892,444,4,18,1714.81538699212,15.4487872701993,69.5195427158968
"39","05007","Coahuila de Zaragoza","Cuatro Ciénegas",13013,164,0,4,1260.27818335511,0,30.7384922769538
"40","05008","Coahuila de Zaragoza","Escobedo",2901,10,1,0,344.708721130645,34.4708721130645,0
"41","05009","Coahuila de Zaragoza","Francisco I. Madero",55676,427,15,25,766.93727997701,26.9415906315109,44.9026510525181
"42","05010","Coahuila de Zaragoza","Frontera",75215,1432,13,78,1903.87555673735,17.2837864787609,103.702718872565
"43","05011","Coahuila de Zaragoza","General Cepeda",11682,102,1,1,873.138161273755,8.56017805170348,8.56017805170348
"44","05012","Coahuila de Zaragoza","Guerrero",2091,13,3,0,621.712099473936,143.472022955524,0
"45","05013","Coahuila de Zaragoza","Hidalgo",1852,0,0,0,0,0,0
"46","05014","Coahuila de Zaragoza","Jiménez",9935,10,3,0,100.654252642174,30.1962757926522,0
"47","05015","Coahuila de Zaragoza","Juárez",1599,4,0,0,250.156347717323,0,0
"48","05016","Coahuila de Zaragoza","Lamadrid",1835,2,1,0,108.991825613079,54.4959128065395,0
"49","05017","Coahuila de Zaragoza","Matamoros",107160,912,54,126,851.063829787234,50.3919372900336,117.581187010078
"50","05018","Coahuila de Zaragoza","Monclova",216206,3907.284,45,434,1807.20424040036,20.8134834370924,200.734484704402
"51","05019","Coahuila de Zaragoza","Morelos",8207,22,0,0,268.06384793469,0,0
"52","05020","Coahuila de Zaragoza","Múzquiz",66834,1477,8,46,2209.95301792501,11.9699554119161,68.8272436185175
"53","05021","Coahuila de Zaragoza","Nadadores",6335,4,0,0,63.1412786108919,0,0
"54","05022","Coahuila de Zaragoza","Nava",27928,99,4,0,354.482956173016,14.3225436837582,0
"55","05023","Coahuila de Zaragoza","Ocampo",10991,13,0,0,118.278591574925,0,0
"56","05024","Coahuila de Zaragoza","Parras",45401,517,3,25,1138.74143741327,6.60778396951609,55.0648664126341
"57","05025","Coahuila de Zaragoza","Piedras Negras",152806,2986.557,32,85,1954.47626402105,20.9415860633745,55.6260879808385
"58","05026","Coahuila de Zaragoza","Progreso",3473,7,3,1,201.554851713216,86.3806507342355,28.7935502447452
"59","05027","Coahuila de Zaragoza","Ramos Arizpe",75461,1833,18,73,2429.06932057619,23.8533812167875,96.738712712527
"60","05028","Coahuila de Zaragoza","Sabinas",60847,1821,14,36,2992.75231317896,23.0085295906125,59.1647903758608
"61","05029","Coahuila de Zaragoza","Sacramento",2314,2,0,1,86.4304235090752,0,43.2152117545376
"62","05030","Coahuila de Zaragoza","Saltillo",725123,6292.27,76,887,867.752091714095,10.4809804681413,122.324074674228
"63","05031","Coahuila de Zaragoza","San Buenaventura",22149,149,2,18,672.716601200957,9.02975303625446,81.2677773262901
"64","05032","Coahuila de Zaragoza","San Juan de Sabinas",41649,1057,3,33,2537.87605944921,7.20305409493625,79.2335950442988
"65","05033","Coahuila de Zaragoza","San Pedro",102650,1208,62,38,1176.81441792499,60.3994154895275,37.0189965903556
"66","05034","Coahuila de Zaragoza","Sierra Mojada",6375,25,1,0,392.156862745098,15.6862745098039,0
"67","05035","Coahuila de Zaragoza","Torreón",639629,7615.289,239,506.067,1190.57907005467,37.3654102612608,79.1188329484748
