"cvegeo","kmeans_embarazo_temprano","PC1_pca_embarazo_temprano","PC2_pca_embarazo_temprano","kmeans_capital_social_participacion_incipiente","PC1_pca_capital_social_participacion_incipiente","PC2_pca_capital_social_participacion_incipiente","kmeans_espacios_publicos_insuficiente_deteriorado","PC1_pca_espacios_publicos_insuficiente_deteriorado","PC2_pca_espacios_publicos_insuficiente_deteriorado","kmeans_marginacion_exclusion_social","PC1_pca_marginacion_exclusion_social","PC2_pca_marginacion_exclusion_social","kmeans_falta_oportunidades_laborales_informalidad_desocupacion","PC1_pca_falta_oportunidades_laborales_informalidad_desocupacion","PC2_pca_falta_oportunidades_laborales_informalidad_desocupacion","kmeans_consumo_abuso_drogas_ilegales","PC1_pca_consumo_abuso_drogas_ilegales","PC2_pca_consumo_abuso_drogas_ilegales","kmeans_desercion_escolar","PC1_pca_desercion_escolar","PC2_pca_desercion_escolar","kmeans_ambientes_familiares_deteriorados_problematicos","PC1_pca_ambientes_familiares_deteriorados_problematicos","PC2_pca_ambientes_familiares_deteriorados_problematicos"
"01001",3,-0.0210732756850222,0.284325084476287,3,-8.95280703651285,-0.156520715066808,4,0.0212205794382862,0.206919891134091,3,-2.4035254315132,5.00252720897079,1,-2.69750413938464,2.18881099927371,3,0.778283071000408,4.10963742498488,3,0.689395326266386,4.26421685717852,3,-2.28572318417604,-1.19935777333447
"01002",4,-1.11965148287558,-2.12793010188452,2,1.70202957920391,-0.401950357073142,4,-0.412336471328963,-0.0473524148881081,3,-0.91490307031151,-0.753346056509672,2,0.474146533960054,-0.302716049722242,3,-0.279754337139817,-0.224244738460136,3,7.28180958621723,2.00005335940416,2,-0.607440644642516,0.888063578275637
"01003",3,0.193643279554006,0.215424066581668,2,1.22283864651638,-0.259792437476436,4,-0.344378305694457,-0.140176063824087,3,-0.880123186663074,-0.542870603293199,2,0.640632978682521,0.106635716181561,2,-0.0256645335318688,0.490218622389168,3,5.83739404054332,1.45092418084059,2,-0.753110650299404,0.876863578322321
"01005",3,0.297204153828671,0.798547200140471,2,0.881133357760245,-0.37601446084485,4,-0.522099261850907,-0.245710844929299,3,-1.57298203653732,-0.241035825808191,3,-0.604601156197311,-0.710469560161332,3,-0.206773024167744,0.0913297631466605,3,4.96078270089,3.08674856072328,2,-0.758500393726355,0.788876522816322
"01006",3,0.987648292577008,-0.191504060902382,2,1.75962370986216,-0.461455746684049,4,-0.545210438357524,-0.20418351314893,3,-1.63306811844774,-0.726947315343882,3,-0.69081277316183,-0.939634924188505,3,-0.254331262142569,-0.183599050216416,1,9.63025142569021,0.00323299809421868,2,-0.951670497593103,1.02202567764697
"01007",3,0.653538722791263,-0.265787737486175,2,1.66824941297316,-0.402189418159752,4,-0.412993167797728,-0.0956575271968765,3,-1.36344518924205,-0.637805032968681,3,-0.16523951072032,-0.569091466207578,3,-0.231677390272165,-0.138816750991924,3,9.88038662514183,2.65434048711135,2,-0.596253861200878,0.825568920655807
"02001",3,0.250725737640793,0.0362300882841841,3,-6.1840610530081,16.5080815221691,3,28.5477122498189,16.8655224792762,2,18.1424048571694,13.2693591586471,3,-0.943185824769372,0.505867575213813,2,9.65682056791054,-1.85843026898995,3,1.46320435067592,5.20775260099954,2,-0.981085968442395,-0.884144828364841
"02002",3,0.161788063155801,0.0285575197697987,3,-12.7475778842152,2.27398217463798,3,9.98508498087555,6.78393147049341,3,0.927313106233287,7.81460515669705,1,-2.25382645070147,1.94182609769909,3,2.13930114320798,0.0768834477099061,4,-2.15666435638019,6.37288595231741,3,-2.45786197556693,-2.22197787360662
"02003",3,0.397404126710792,-0.143985152657311,2,0.18067924420507,0.285455257785469,4,0.125114901456253,-0.000995598378451711,3,-0.79665970157888,0.340373146798765,3,-0.46637280569686,-0.288272539247108,2,-0.0286782762266696,-0.23688992838341,3,3.70244936103741,5.96735121443249,2,-0.729254548733126,0.648103722141172
"02004",3,-0.000790567601395866,0.0288508011336506,3,-29.2723211199086,0.668260576118353,4,-0.148731134167284,0.0126875949260647,3,-3.3143980898627,9.43629119230307,1,-3.69352155571719,5.05079466046287,3,0.231365011542831,0.964206263602516,3,1.35477162464153,6.21397702776351,3,-3.5641879392075,-4.5483847543729
"02005",3,0.303877781224978,-0.30287200374605,2,0.329618963843961,-0.328633042237325,4,-0.515862737404783,-0.266904927273315,3,-1.39275354141881,-0.513692199204641,3,-0.108807203721059,-0.09696894289182,3,-0.247319111648638,-0.316581792406968,3,3.82840122175798,5.26986367089954,2,-0.499429243805443,0.577622034794481
"03001",3,0.423631577111354,-0.125394350677366,2,1.72692338691629,7.76038149608679,5,9.44276202298818,1.79762335754355,2,9.8429039438767,6.28784138867118,3,-0.0825212367535288,-0.598029761406349,3,1.4476631274412,-0.646035404341786,4,-5.51791243117911,1.79420154106823,2,-0.431185838589509,0.652449057269014
"03002",3,0.734611364847774,-0.286734128428195,2,1.75832491799386,10.6105198807811,3,11.2155991349558,5.86012085059516,2,23.3126495157463,13.8255846205974,3,-0.61183025278605,-0.979700799941629,2,9.52072720307291,-2.28848504300176,3,4.50848083280735,1.82372012899191,2,-0.358610468857562,0.67650623583231
