Dependiente ,Tipo de fenomeno,Duracion,MUNICIPIOS afectados,ANAL,SPRI,OVSDS,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,area_mun (ha),Sum_POBTOT,R_Inun,R_Hur,R_Des,R_Seq,R_IF,R_Den,a_o,Clave completa(TEXTO)
1,SEQ,10,58,9,41.17,8.15,2.7,6.61,31.73,7.51,100,59.01,-0.56,Medio,27566.66,2778,1,1,0,1,1,5,2007,32058
1,BT,1,56,3.19,16.75,2.82,0.69,1.53,29.55,1.31,8.03,41.13,-1.88,Muy bajo,43680.67,137953,2,1,1,5,1,0,2002,32056
1,LLUV,3,56,3.19,16.75,2.82,0.69,1.53,29.55,1.31,8.03,41.13,-1.88,Muy bajo,43680.67,137953,2,1,1,5,1,0,2003,32056
0,SD,1,56,3.19,16.75,2.82,0.69,1.53,29.55,1.31,8.03,41.13,-1.88,Muy bajo,43680.67,137953,2,1,1,5,1,0,2002,32056
0,LLUV,1,56,3.19,16.75,2.82,0.69,1.53,29.55,1.31,8.03,41.13,-1.88,Muy bajo,43680.67,137953,2,1,1,5,1,0,2004,32056
0,LLUV,1,56,3.19,16.75,2.82,0.69,1.53,29.55,1.31,8.03,41.13,-1.88,Muy bajo,43680.67,137953,2,1,1,5,1,0,2004,32056
0,FV,1,56,2.83,13.37,1.32,0.7,0.4,24.64,1.04,6.93,36.85,-1.82,Muy bajo,43680.67,137953,2,1,1,5,1,0,2008,32056
0,LLUV,1,56,2.83,13.37,1.32,0.7,0.4,24.64,1.04,6.93,36.85,-1.82,Muy bajo,43680.67,137953,2,1,1,5,1,0,2008,32056
0,LLUV,2,56,2.83,13.37,1.32,0.7,0.4,24.64,1.04,6.93,36.85,-1.82,Muy bajo,43680.67,137953,2,1,1,5,1,0,2008,32056
0,FV,1,56,2.83,13.37,1.32,0.7,0.4,24.64,1.04,6.93,36.85,-1.82,Muy bajo,43680.67,137953,2,1,1,5,1,0,2009,32056
1,TS,2,55,8.03,39.8,12.11,2.06,4.56,33.99,6.65,62.33,60.07,-0.7,Bajo,215650.56,29163,1,1,1,3,1,0,2006,32055
1,SEQ,10,55,8.03,39.8,12.11,2.06,4.56,33.99,6.65,62.33,60.07,-0.7,Bajo,215650.56,29163,1,1,1,3,1,0,2007,32055
1,LLUV,3,55,7.9,44.6,23.12,4.63,9.95,40.23,5.21,65.6,67.03,-0.68,Medio,215650.56,29163,1,1,1,3,1,0,2002,32055
1,LLUV,3,55,7.9,44.6,23.12,4.63,9.95,40.23,5.21,65.6,67.03,-0.68,Medio,215650.56,29163,1,1,1,3,1,0,2003,32055
0,LLUV,1,55,7.9,44.6,23.12,4.63,9.95,40.23,5.21,65.6,67.03,-0.68,Medio,215650.56,29163,1,1,1,3,1,0,2002,32055
0,LLUV,1,55,7.9,44.6,23.12,4.63,9.95,40.23,5.21,65.6,67.03,-0.68,Medio,215650.56,29163,1,1,1,3,1,0,2003,32055
1,SEQ,10,53,8.93,39,12.68,2.35,5.4,40.96,7.4,53.42,60.72,-0.62,Medio,42737.52,12801,1,1,0,3,3,0,2007,32053
1,SEQ,62,53,8.93,39,12.68,2.35,5.4,40.96,7.4,53.42,60.72,-0.62,Medio,42737.52,12801,1,1,0,3,3,0,2009,32053
1,SEQ,92,53,7.67,32.57,7.42,1.9,5.87,39.2,4.49,52.06,53.96,-0.58,Medio,42737.52,12801,1,1,0,3,3,0,2010,32053
0,LLUV,1,53,10.98,46.85,22.04,3.42,7.71,45.24,12.27,55.79,67.76,-0.57,Medio,42737.52,12801,1,1,0,3,3,0,2002,32053
1,LLUV,3,52,7.03,34.65,24.35,4.25,15.28,52.97,12.95,62.27,65.32,-0.61,Medio,33823.05,18138,4,2,0,3,3,0,2002,32052
1,LLUV,3,52,7.03,34.65,24.35,4.25,15.28,52.97,12.95,62.27,65.32,-0.61,Medio,33823.05,18138,4,2,0,3,3,0,2003,32052
