"Dependiente","ANAL","SPRI","OVSDS","OVSEE","OVSAE","VHAC","OVPT","PL.5000","PO2SM","IM","area_mun..ha.","Sum_POBTOT","R_Inun","R_Hur","R_Des","R_Seq","R_IF","R_Den"
1,9.29,31.67,6.82,3.48,3.63,55.55,22.04,100,68.23,-0.56,1864.31,6742,0,5,4,1,1,0
1,14.1,48.37,18.52,21.67,21.81,50.03,25.62,100,81.54,0.16,265979.55,14929,1,1,2,1,3,0
1,22.82,55.12,9.54,8.32,39.5,82.63,45.29,100,88.26,1.3,88315.3,37954,0,3,4,0,1,5
0,2.82,9.78,0.15,0.26,8.98,28.81,1.64,1.2,31.4,-1.85,30878.95,650145,0,1,1,5,1,0
0,20.22,42.9,2.58,5.8,8.63,46.08,28.29,44.03,68.89,-0.12,65708.1,47605,5,5,2,4,1,0
0,24.56,43.98,2.17,1.16,13.8,69.65,40.35,58.55,84.11,0.48,36586.9,30603,3,5,4,2,4,5
0,8.55,38.03,5.39,11.17,9.55,51.99,13.44,52.88,70.94,-0.63,684745.45,56075,3,3,0,1,3,5
0,6.84,25.17,7.55,1.53,4.12,46.09,8.7,20.49,39.98,-1.42,623897.21,855444,3,3,1,3,5,0
0,7.7,27.25,3.13,1.13,5.16,42.5,4.03,7.33,34.5,-1.58,121043.12,1434751,4,1,1,5,2,5
1,17.29,51.25,24.7,4.73,1.73,44.88,5.3,100,84.25,0.2,53766.78,3635,2,3,0,1,3,0
1,9.36,32.19,1.23,0.17,0.84,38.25,5.18,100,47.34,-0.57,6718.13,10642,5,2,0,3,1,5
1,18.05,44.03,17.82,11.51,16.05,46.61,27.25,100,75.96,0.37,79036.05,21487,2,5,3,3,1,0
1,16.37,41.96,11.99,2.91,6.06,45.81,15.45,100,54.71,-0.21,7923.66,1747,0,2,0,4,3,0
0,12.54,32.3,11.17,1.55,5.37,54.36,23.35,18.37,63.46,-0.83,9286.86,63215,2,3,3,5,2,0
0,11.22,28.76,4.01,4.11,45.31,43.12,6.83,17.99,59.81,-0.62,31640.41,39157,5,3,0,2,2,0
0,20.94,54.76,24.72,9.11,46.94,65.62,37.68,77.57,83.13,0.57,56524.66,26937,5,3,0,0,1,0
1,49,74.79,13.6,46.43,80.4,81.44,82.31,100,87.21,2.27,19362.42,10573,0,5,5,3,3,5
1,28.13,58.5,29.96,6.04,2.66,76.57,72.14,100,89.19,0.94,16529.52,2239,0,1,5,2,1,5
0,9.16,34.56,5.34,1.42,3.6,39.51,10.68,75.68,61.77,-0.65,109334.65,42945,5,5,1,3,1,0
0,24.31,50.73,5.1,11.61,23.63,65.11,61.04,100,80.11,1.03,940.18,2127,0,5,0,2,1,5
1,4.02,16.27,3.13,1.7,1.67,27.4,2.71,6.16,39.09,-1.9,146706.56,772178,3,3,0,5,3,0
0,13.54,37.46,5.01,5.52,15.34,53.6,9.16,66.81,66.23,-0.25,357357.18,55466,3,1,0,1,1,0
1,33.53,66.44,22.74,52.55,31.58,77.35,70.34,100,88.23,1.69,18215.28,9682,0,5,4,5,3,0
1,11.93,32.63,4.45,0.8,2.32,43.33,7.37,44.01,56.09,-0.81,17401.04,36444,4,1,0,5,2,5
0,5.48,18.36,1.67,1.54,18.55,43.51,4.62,17.25,24.81,-1.19,858833.96,217712,3,1,0,1,1,0
0,16.93,48.45,30.97,2.67,5.72,56.71,17.84,68.98,68.83,-0.21,61028.62,83753,5,2,0,5,2,5
1,6.24,24.29,5.06,1.89,2.21,45.39,7.52,72.65,53.53,-0.59,157462.3,22219,4,1,0,3,2,0
0,6.06,32.66,4.7,1.06,0.45,24.08,2.38,100,44.65,-1.06,133794.01,3896,2,1,0,3,3,0
1,16.46,43.65,24.01,0.65,3.48,50.44,1.11,100,77.52,0,17248.68,3472,4,5,0,2,4,0
1,30.12,52.85,10.34,24.61,28.28,68.7,51.62,100,89.03,0.89,38858.96,36288,0,5,5,3,2,5
1,14.5,61.28,19.6,5.55,8.3,27.5,8.66,100,72.48,0.01,34999.21,1549,0,1,0,1,3,0
1,40.05,55.08,24.97,8.17,26.13,64.26,42.99,47.01,86.66,0.66,3803.38,10895,3,4,4,5,2,0
0,9.2,34.54,14.07,5.33,10.65,49.85,14.55,70.8,60.87,-0.7,260625.7,48742,4,3,1,3,3,0
1,5.8,30.85,12.6,3.46,18.27,35.34,11.49,43.28,53.63,-0.82,633732.92,44119,1,2,1,1,3,0
1,11.8,30.53,6.53,2.16,4.19,59.82,14.84,50.23,75.27,-0.34,27251.81,31394,5,3,0,4,1,0
0,3.98,12.07,0.38,0.32,2.68,27.68,3.05,2.6,27.56,-1.87,19876.84,365101,0,1,1,3,1,5
0,11.39,22.61,1.11,0.54,11.72,41.86,18,12.02,48.2,-1.04,2081.64,41778,5,5,0,2,1,0
