Grupo ,Variables 
Embarazo Temprano,Edad promedio del padre al momento del nacimiento
,Edad promedio de la madre al momento del nacimiento
Ambientes familiares deteriorados ,Porcentaje de personas con carencia por calidad y espacios de la vivienda
,Porcentaje de personas con carencia por acceso a los servicios b‡sicos en la vivienda
,Hogares censales con jefatura femenina
,Porcentaje de personas con carencia por calidad y espacios de la vivienda
Capital social insipiente ,Establecimientos de unidades econ—micas en la regi—n que son asociaciones y organizaciones pol’ticas.
,Establecimientos de unidades econ—micas en la regi—n que son asociaciones y organizaciones civiles.
,Establecimientos de unidades econ—micas en la regi—n que son asociaciones y organizaciones religiosas.
,Porcentaje de escuelas que cuentan con asociaci—n de padres de familia.
Falta de oportunidades laborales,Poblaci—n desocupada
,Porcentaje de personas  con ingreso inferior a la l’nea de bienestar m’nima
,Porcentaje de personas vulnerables por ingreso
Deserci—n escolar,Resultados de la prueba ENLACE ( mas de 50 variables)
Falta de espacios pœblicos,Establecimientos de unidades econ—micas en la regi—n que se dedican a servicios educativos
,Establecimientos de unidades econ—micas en la regi—n que se dedican a servicios de salud y de asistencia social
,"Establecimientos de unidades econ—micas en la regi—n que se dedican a servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
,Establecimientos de unidades econ—micas en la regi—n que se dedican a servicios de alojamiento temporal y de preparaci—n de alimentos y bebidas
Marginaci—n social ,Cohesi—n social
,Nivel de  marginaci—n de las escuelas 
,Porcentaje de personas con carencia por acceso a la seguridad social
Abuso y consumo de drogas ,Edad promedio de los egresos cuya afecci—n principal est‡ vinculada con drogas
,Total de observaciones cuya afecci—n principal est‡ vinculada con drogas
,Total de observaciones por unidad administrativa
