"","nombre_variable_modelo"
"1","segob_sesnsp_otrosdelitos_restodelosdelitosotros_restodelosdelitosotros"
"2","segob_sesnsp_otrosdelitos_amenazas_amenazas"
"3","segob_sesnsp_delitospatrimoniales_abusodeconfianza_abusodeconfianza"
"4","segob_sesnsp_delitospatrimoniales_despojo_sindatos"
"5","segob_sesnsp_delitospatrimoniales_despojo_conviolencia"
"6","segob_sesnsp_delitospatrimoniales_despojo_sinviolencia"
"7","segob_sesnsp_delitospatrimoniales_fraude_fraude"
"8","segob_sesnsp_delitospatrimoniales_dañoenpropiedadajena_dañoenpropiedadajena"
"9","segob_sesnsp_delitospatrimoniales_extorsion_extorsion"
"10","segob_sesnsp_otrosdelitos_estupro_estupro"
"11","segob_sesnsp_otrosdelitos_otrossexuales_otrossexuales"
"12","segob_sesnsp_delitossexualesviolacion_violacion_violacion"
"13","segob_sesnsp_homicidios_culposos_conarmadefuego"
"14","segob_sesnsp_homicidios_culposos_otros"
"15","segob_sesnsp_homicidios_culposos_conarmablanca"
"16","segob_sesnsp_homicidios_culposos_sindatos"
"17","segob_sesnsp_homicidios_dolosos_conarmablanca"
"18","segob_sesnsp_homicidios_dolosos_conarmadefuego"
"19","segob_sesnsp_homicidios_dolosos_otros"
"20","segob_sesnsp_homicidios_dolosos_sindatos"
"21","segob_sesnsp_roboeninstitucionesbancarias_conviolencia_acasadecambio"
"22","segob_sesnsp_robocomun_conviolencia_otros"
"23","segob_sesnsp_roboencarreteras_conviolencia_otros"
"24","segob_sesnsp_roboencarreteras_conviolencia_aautobuses"
"25","segob_sesnsp_roboencarreteras_conviolencia_sindatos"
"26","segob_sesnsp_robocomun_conviolencia_acasahabitacion"
"27","segob_sesnsp_roboeninstitucionesbancarias_conviolencia_acasadebolsa"
"28","segob_sesnsp_robocomun_conviolencia_devehiculos"
"29","segob_sesnsp_robocomun_conviolencia_sindatos"
"30","segob_sesnsp_roboencarreteras_conviolencia_avehiculosparticulares"
"31","segob_sesnsp_roboeninstitucionesbancarias_conviolencia_sindatos"
"32","segob_sesnsp_robocomun_conviolencia_atransportistas"
"33","segob_sesnsp_roboencarreteras_conviolencia_acamionesdecarga"
"34","segob_sesnsp_roboeninstitucionesbancarias_conviolencia_abancos"
"35","segob_sesnsp_robocomun_conviolencia_atranseuntes"
"36","segob_sesnsp_roboeninstitucionesbancarias_conviolencia_aempresadetrasladodevalores"
"37","segob_sesnsp_roboeninstitucionesbancarias_conviolencia_otros"
"38","segob_sesnsp_robocomun_conviolencia_anegocio"
"39","segob_sesnsp_roboencarreteras_sinviolencia_avehiculosparticulares"
"40","segob_sesnsp_robocomun_sinviolencia_atranseuntes"
"41","segob_sesnsp_roboeninstitucionesbancarias_sinviolencia_acasadecambio"
"42","segob_sesnsp_roboencarreteras_sinviolencia_acamionesdecarga"
"43","segob_sesnsp_roboencarreteras_sinviolencia_aautobuses"
"44","segob_sesnsp_robocomun_sinviolencia_devehiculos"
"45","segob_sesnsp_roboencarreteras_sinviolencia_sindatos"
"46","segob_sesnsp_robocomun_sinviolencia_anegocio"
"47","segob_sesnsp_robocomun_sinviolencia_acasahabitacion"
"48","segob_sesnsp_roboeninstitucionesbancarias_sinviolencia_acasadebolsa"
"49","segob_sesnsp_roboeninstitucionesbancarias_sinviolencia_sindatos"
"50","segob_sesnsp_roboeninstitucionesbancarias_sinviolencia_otros"
"51","segob_sesnsp_robocomun_sinviolencia_atransportistas"
"52","segob_sesnsp_roboencarreteras_sinviolencia_otros"
"53","segob_sesnsp_roboeninstitucionesbancarias_sinviolencia_abancos"
"54","segob_sesnsp_roboeninstitucionesbancarias_sinviolencia_aempresadetrasladodevalores"
"55","segob_sesnsp_robocomun_sinviolencia_otros"
"56","segob_sesnsp_robocomun_sinviolencia_sindatos"
